%1K5
%1 mkA
%delta method
%cooling down to 4.9K
%===================Date and Time===================
%11/13/2024 1:57:04 PM
%===============Changing of Bit State===============
%Manual Changing of Bit State
%===============Temperature===============
%Lable: T
%Units: K
%Calibration: x98446
%Step: 0.000000
%Device: Keithley 2002 DMM
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 2002,4027178,B02  /A02  %Function: 4 - Wire Resistance
%Resolution: 8.5 Digits
%Integration Time: Automatic
%Range [V]: 20000.000000
%Offset Compensation: Off
%Digital Filter: Off%Triger Count: 1.000000
%Trigger Delay0.000000%===============Resistance===============
%Lable: R
%Units: Ohm
%Function: x*1000000
%Device: Keithley 6221 CS
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 6221,4025812,D02  /700x %Function: Delta
%High Level [A]: 1.000000E-6
%Low Level [A]: -1.000000E-6
%Delay [s]: 0.200000
%Measurement Units: Volt
%Compliance [V]: 10.000000
%Output Low Connection: Floating
%Triax Inner Shield Connection: Output Low
%Output Responce: Fast
%Analog Filter: Off
%Digital Filter: Moving
%Filter Count: 2
%Filter Window [%]: 1.000000
%=======================
%======2812A Parameters======
%=======================
%Range: 1 V
%Digital Filter: Repeat
%Filter Count: 2
%Filter Window [%]: 0.000000
%Analog Filter: On
%NPLC: 1%===============Timer===============
%Lable: t
%Units: s
%Function: x/100000
%Device: Timer
%==========================================
"Temperature (T) [K]", "Resistance (R) [Ohm]", "Timer (t) [s]", "Bit State"
2.919443E+2,1.492577E+3,4.9083E-1,0
2.91878E+2,1.492845E+3,4.99435E-1,0
2.918025E+2,1.492941E+3,5.0803E-1,0
2.917209E+2,1.493871E+3,5.1663E-1,0
2.916711E+2,1.492966E+3,5.25235E-1,0
2.915926E+2,1.493094E+3,5.33835E-1,0
2.915031E+2,1.493699E+3,5.42445E-1,0
2.914259E+2,1.493221E+3,5.51055E-1,0
2.913529E+2,1.493438E+3,5.59655E-1,0
2.912712E+2,1.493629E+3,5.68255E-1,0
2.91191E+2,1.493348E+3,5.76845E-1,0
2.911227E+2,1.493648E+3,5.85425E-1,0
2.910651E+2,1.493737E+3,5.9399E-1,0
2.90961E+2,1.494094E+3,6.0256E-1,0
2.908863E+2,1.493769E+3,6.1115E-1,0
2.908223E+2,1.493725E+3,6.1974E-1,0
2.907302E+2,1.494222E+3,6.2834E-1,0
2.90645E+2,1.493916E+3,6.36935E-1,0
2.905777E+2,1.494081E+3,6.4554E-1,0
2.905069E+2,1.494177E+3,6.5414E-1,0
2.904234E+2,1.494381E+3,6.62755E-1,0
2.903413E+2,1.494056E+3,6.7136E-1,0
2.902662E+2,1.494451E+3,6.79945E-1,0
2.901884E+2,1.494317E+3,6.88535E-1,0
2.901179E+2,1.494776E+3,6.9714E-1,0
2.900473E+2,1.494623E+3,7.0575E-1,0
2.899625E+2,1.494776E+3,7.14355E-1,0
2.898799E+2,1.494967E+3,7.22955E-1,0
2.898159E+2,1.49491E+3,7.3157E-1,0
2.89747E+2,1.494827E+3,7.40165E-1,0
2.896642E+2,1.494929E+3,7.48755E-1,0
2.895852E+2,1.495305E+3,7.57365E-1,0
2.895134E+2,1.495088E+3,7.6596E-1,0
2.894612E+2,1.495235E+3,7.7454E-1,0
2.893834E+2,1.495299E+3,7.8315E-1,0
2.893004E+2,1.495197E+3,7.9176E-1,0
2.892378E+2,1.495388E+3,8.00365E-1,0
2.891567E+2,1.495356E+3,8.08965E-1,0
2.890881E+2,1.495547E+3,8.17545E-1,0
2.890142E+2,1.495624E+3,8.26075E-1,0
2.889494E+2,1.495751E+3,8.34565E-1,0
2.888832E+2,1.495656E+3,8.43055E-1,0
2.888124E+2,1.495573E+3,8.51545E-1,0
2.887477E+2,1.495802E+3,8.60035E-1,0
2.886894E+2,1.496095E+3,8.68525E-1,0
2.886037E+2,1.496503E+3,8.77015E-1,0
2.885421E+2,1.496516E+3,8.8551E-1,0
2.884692E+2,1.496102E+3,8.93995E-1,0
2.884136E+2,1.496197E+3,9.02485E-1,0
2.883359E+2,1.496248E+3,9.10975E-1,0
2.882755E+2,1.496223E+3,9.1947E-1,0
2.882227E+2,1.496714E+3,9.2796E-1,0
2.881492E+2,1.496605E+3,9.36445E-1,0
2.880919E+2,1.496408E+3,9.44945E-1,0
2.880241E+2,1.496586E+3,9.5343E-1,0
2.87975E+2,1.496898E+3,9.61925E-1,0
2.878953E+2,1.49672E+3,9.7041E-1,0
2.878377E+2,1.496535E+3,9.78905E-1,0
2.877689E+2,1.496733E+3,9.87395E-1,0
2.877214E+2,1.496726E+3,9.95885E-1,0
2.876646E+2,1.496873E+3,1.004375E+0,0
2.87616E+2,1.497102E+3,1.01287E+0,0
2.87551E+2,1.49693E+3,1.02136E+0,0
2.874868E+2,1.496841E+3,1.02985E+0,0
2.87432E+2,1.496962E+3,1.03834E+0,0
2.873551E+2,1.497128E+3,1.046825E+0,0
2.873037E+2,1.497287E+3,1.055325E+0,0
2.872478E+2,1.497255E+3,1.06381E+0,0
2.872057E+2,1.497338E+3,1.0723E+0,0
2.871196E+2,1.497223E+3,1.080795E+0,0
2.870571E+2,1.497268E+3,1.089285E+0,0
2.870135E+2,1.49772E+3,1.097775E+0,0
2.869544E+2,1.497561E+3,1.10626E+0,0
2.868964E+2,1.497561E+3,1.114755E+0,0
2.868532E+2,1.497466E+3,1.123245E+0,0
2.867774E+2,1.49758E+3,1.13174E+0,0
2.867165E+2,1.49795E+3,1.14023E+0,0
2.866675E+2,1.498065E+3,1.148725E+0,0
2.866233E+2,1.497593E+3,1.15721E+0,0
2.86581E+2,1.497759E+3,1.165705E+0,0
2.865102E+2,1.497752E+3,1.17419E+0,0
2.864601E+2,1.498205E+3,1.18268E+0,0
2.864027E+2,1.498077E+3,1.191175E+0,0
2.8636E+2,1.498218E+3,1.19967E+0,0
2.862982E+2,1.498148E+3,1.208155E+0,0
2.862634E+2,1.498249E+3,1.21665E+0,0
2.862038E+2,1.498288E+3,1.22514E+0,0
2.861453E+2,1.498422E+3,1.233625E+0,0
2.861068E+2,1.498479E+3,1.242115E+0,0
2.860536E+2,1.498313E+3,1.25061E+0,0
2.860041E+2,1.498428E+3,1.259105E+0,0
2.859612E+2,1.498396E+3,1.26759E+0,0
2.859061E+2,1.498613E+3,1.27608E+0,0
2.858659E+2,1.498689E+3,1.28457E+0,0
2.858105E+2,1.498842E+3,1.29306E+0,0
2.857673E+2,1.498651E+3,1.301555E+0,0
2.857408E+2,1.498861E+3,1.31005E+0,0
2.856722E+2,1.498829E+3,1.318535E+0,0
2.856169E+2,1.498721E+3,1.327035E+0,0
2.855859E+2,1.498829E+3,1.33552E+0,0
2.855336E+2,1.498817E+3,1.344005E+0,0
2.854813E+2,1.499154E+3,1.3525E+0,0
2.854356E+2,1.498982E+3,1.360985E+0,0
2.854062E+2,1.499193E+3,1.36948E+0,0
2.853506E+2,1.499104E+3,1.377975E+0,0
2.853101E+2,1.499078E+3,1.386465E+0,0
2.852711E+2,1.499205E+3,1.394955E+0,0
2.852274E+2,1.499524E+3,1.40345E+0,0
2.851822E+2,1.499543E+3,1.41194E+0,0
2.851337E+2,1.499868E+3,1.42043E+0,0
2.850907E+2,1.499843E+3,1.42892E+0,0
2.850408E+2,1.498951E+3,1.437415E+0,0
2.850217E+2,1.499537E+3,1.445905E+0,0
2.849567E+2,1.49962E+3,1.454395E+0,0
2.849204E+2,1.499454E+3,1.46289E+0,0
2.848848E+2,1.499683E+3,1.47138E+0,0
2.848397E+2,1.499562E+3,1.47987E+0,0
2.847928E+2,1.499378E+3,1.48836E+0,0
2.847485E+2,1.500155E+3,1.496845E+0,0
2.846869E+2,1.499511E+3,1.50534E+0,0
2.84625E+2,1.499849E+3,1.51383E+0,0
2.845544E+2,1.499887E+3,1.522315E+0,0
2.844999E+2,1.499817E+3,1.530815E+0,0
2.844312E+2,1.5002E+3,1.5393E+0,0
2.843603E+2,1.499836E+3,1.54779E+0,0
2.842949E+2,1.499868E+3,1.55628E+0,0
2.842266E+2,1.500021E+3,1.56477E+0,0
2.841544E+2,1.500263E+3,1.573265E+0,0
2.84088E+2,1.500493E+3,1.581755E+0,0
2.840177E+2,1.500372E+3,1.590245E+0,0
2.839594E+2,1.500518E+3,1.598735E+0,0
2.838833E+2,1.500295E+3,1.607225E+0,0
2.838185E+2,1.500627E+3,1.615715E+0,0
2.837523E+2,1.500639E+3,1.624205E+0,0
2.836817E+2,1.50078E+3,1.632695E+0,0
2.836218E+2,1.500569E+3,1.64119E+0,0
2.835342E+2,1.50048E+3,1.64968E+0,0
2.834653E+2,1.500754E+3,1.658175E+0,0
2.833985E+2,1.501022E+3,1.66666E+0,0
2.833097E+2,1.501188E+3,1.675145E+0,0
2.832423E+2,1.500952E+3,1.683645E+0,0
2.831728E+2,1.500914E+3,1.69213E+0,0
2.831043E+2,1.50078E+3,1.70062E+0,0
2.830345E+2,1.501532E+3,1.709115E+0,0
2.829738E+2,1.501302E+3,1.717605E+0,0
2.829091E+2,1.501564E+3,1.726095E+0,0
2.828437E+2,1.501219E+3,1.734585E+0,0
2.827729E+2,1.502609E+3,1.743075E+0,0
2.827141E+2,1.501697E+3,1.75157E+0,0
2.826369E+2,1.501487E+3,1.76006E+0,0
2.825778E+2,1.501551E+3,1.768545E+0,0
2.825111E+2,1.50171E+3,1.777045E+0,0
2.82447E+2,1.501825E+3,1.78553E+0,0
2.823801E+2,1.501921E+3,1.79402E+0,0
2.823182E+2,1.501972E+3,1.80251E+0,0
2.822578E+2,1.501933E+3,1.811E+0,0
2.821974E+2,1.50201E+3,1.819495E+0,0
2.82127E+2,1.501978E+3,1.82798E+0,0
2.820782E+2,1.502239E+3,1.836475E+0,0
2.820043E+2,1.50208E+3,1.844965E+0,0
2.819487E+2,1.502571E+3,1.853455E+0,0
2.818899E+2,1.502246E+3,1.861945E+0,0
2.818254E+2,1.502392E+3,1.87044E+0,0
2.817713E+2,1.50252E+3,1.878925E+0,0
2.817155E+2,1.502545E+3,1.88742E+0,0
2.816522E+2,1.502685E+3,1.89591E+0,0
2.815903E+2,1.502647E+3,1.904395E+0,0
2.815249E+2,1.502749E+3,1.91289E+0,0
2.814799E+2,1.502609E+3,1.92138E+0,0
2.814303E+2,1.502832E+3,1.92987E+0,0
2.81356E+2,1.503017E+3,1.93836E+0,0
2.813046E+2,1.503074E+3,1.94685E+0,0
2.812373E+2,1.502857E+3,1.955345E+0,0
2.811938E+2,1.502877E+3,1.96383E+0,0
2.81145E+2,1.502915E+3,1.97232E+0,0
2.810823E+2,1.503131E+3,1.980815E+0,0
2.810225E+2,1.503151E+3,1.989305E+0,0
2.809706E+2,1.503131E+3,1.997795E+0,0
2.809396E+2,1.502985E+3,2.00629E+0,0
2.808718E+2,1.503514E+3,2.014775E+0,0
2.808234E+2,1.503406E+3,2.02327E+0,0
2.807634E+2,1.503431E+3,2.03176E+0,0
2.807144E+2,1.503361E+3,2.04025E+0,0
2.806598E+2,1.503469E+3,2.04874E+0,0
2.806144E+2,1.503616E+3,2.057225E+0,0
2.805446E+2,1.503584E+3,2.06572E+0,0
2.805074E+2,1.503507E+3,2.07421E+0,0
2.804472E+2,1.503724E+3,2.082705E+0,0
2.804015E+2,1.503794E+3,2.091195E+0,0
2.803661E+2,1.503864E+3,2.099685E+0,0
2.803088E+2,1.503992E+3,2.108175E+0,0
2.802526E+2,1.504036E+3,2.11666E+0,0
2.802152E+2,1.504049E+3,2.12515E+0,0
2.801735E+2,1.503998E+3,2.133645E+0,0
2.801234E+2,1.503985E+3,2.14213E+0,0
2.800584E+2,1.50396E+3,2.15062E+0,0
2.800136E+2,1.504164E+3,2.159115E+0,0
2.799649E+2,1.504151E+3,2.167605E+0,0
2.799265E+2,1.5041E+3,2.176095E+0,0
2.798825E+2,1.504521E+3,2.184585E+0,0
2.798349E+2,1.504362E+3,2.193075E+0,0
2.798085E+2,1.504903E+3,2.20157E+0,0
2.797567E+2,1.504495E+3,2.21006E+0,0
2.797099E+2,1.504413E+3,2.21855E+0,0
2.796744E+2,1.504432E+3,2.227045E+0,0
2.796315E+2,1.504674E+3,2.23553E+0,0
2.795745E+2,1.504534E+3,2.24402E+0,0
2.795376E+2,1.504629E+3,2.25251E+0,0
2.794821E+2,1.504585E+3,2.261E+0,0
2.794504E+2,1.504878E+3,2.269495E+0,0
2.793932E+2,1.504884E+3,2.277985E+0,0
2.793686E+2,1.505126E+3,2.286475E+0,0
2.792907E+2,1.505024E+3,2.29497E+0,0
2.792458E+2,1.504674E+3,2.30346E+0,0
2.792304E+2,1.505094E+3,2.31195E+0,0
2.791876E+2,1.505133E+3,2.32044E+0,0
2.791491E+2,1.505158E+3,2.328935E+0,0
2.791147E+2,1.505075E+3,2.33744E+0,0
2.790745E+2,1.505114E+3,2.345935E+0,0
2.790142E+2,1.505292E+3,2.354425E+0,0
2.789841E+2,1.505324E+3,2.362915E+0,0
2.789404E+2,1.505222E+3,2.371405E+0,0
2.789135E+2,1.50533E+3,2.379905E+0,0
2.788718E+2,1.505394E+3,2.38839E+0,0
2.788393E+2,1.505521E+3,2.39688E+0,0
2.787886E+2,1.505706E+3,2.405375E+0,0
2.787548E+2,1.505228E+3,2.41386E+0,0
2.78717E+2,1.505375E+3,2.42235E+0,0
2.786838E+2,1.505407E+3,2.43084E+0,0
2.786402E+2,1.505528E+3,2.439335E+0,0
2.785976E+2,1.5054E+3,2.447825E+0,0
2.78553E+2,1.505585E+3,2.45631E+0,0
2.785226E+2,1.505687E+3,2.4648E+0,0
2.78494E+2,1.505528E+3,2.473295E+0,0
2.784654E+2,1.505815E+3,2.481785E+0,0
2.78432E+2,1.505725E+3,2.49028E+0,0
2.783947E+2,1.505611E+3,2.49877E+0,0
2.783679E+2,1.505834E+3,2.507255E+0,0
2.783191E+2,1.505929E+3,2.51575E+0,0
2.782958E+2,1.505987E+3,2.52424E+0,0
2.782516E+2,1.505866E+3,2.532735E+0,0
2.782098E+2,1.505936E+3,2.54123E+0,0
2.781733E+2,1.505904E+3,2.54972E+0,0
2.781472E+2,1.506095E+3,2.558205E+0,0
2.781211E+2,1.505891E+3,2.5667E+0,0
2.780867E+2,1.506159E+3,2.575185E+0,0
2.780575E+2,1.50605E+3,2.583675E+0,0
2.780189E+2,1.505999E+3,2.592165E+0,0
2.779891E+2,1.506229E+3,2.600655E+0,0
2.779467E+2,1.506248E+3,2.60915E+0,0
2.779238E+2,1.506057E+3,2.61764E+0,0
2.779043E+2,1.50605E+3,2.62613E+0,0
2.778602E+2,1.506293E+3,2.63462E+0,0
2.778304E+2,1.506414E+3,2.64311E+0,0
2.777916E+2,1.506369E+3,2.651605E+0,0
2.777742E+2,1.506305E+3,2.660095E+0,0
2.777413E+2,1.506452E+3,2.66859E+0,0
2.777118E+2,1.506439E+3,2.67708E+0,0
2.776758E+2,1.506395E+3,2.68557E+0,0
2.776491E+2,1.506516E+3,2.694065E+0,0
2.776131E+2,1.506611E+3,2.702555E+0,0
2.775926E+2,1.506286E+3,2.711045E+0,0
2.775545E+2,1.506624E+3,2.719535E+0,0
2.775147E+2,1.506911E+3,2.72803E+0,0
2.774981E+2,1.506624E+3,2.736515E+0,0
2.774718E+2,1.506745E+3,2.745005E+0,0
2.774583E+2,1.506669E+3,2.753495E+0,0
2.774037E+2,1.50656E+3,2.76199E+0,0
2.773767E+2,1.506752E+3,2.77048E+0,0
2.773577E+2,1.507045E+3,2.77897E+0,0
2.773331E+2,1.50723E+3,2.787465E+0,0
2.773093E+2,1.506803E+3,2.795955E+0,0
2.772848E+2,1.506936E+3,2.804445E+0,0
2.77253E+2,1.506968E+3,2.813135E+0,0
2.772157E+2,1.506936E+3,2.82183E+0,0
2.77196E+2,1.506898E+3,2.830325E+0,0
2.771697E+2,1.506943E+3,2.838815E+0,0
2.771418E+2,1.506924E+3,2.847305E+0,0
2.771187E+2,1.506949E+3,2.855795E+0,0
2.770855E+2,1.50707E+3,2.86429E+0,0
2.770742E+2,1.507108E+3,2.87278E+0,0
2.770445E+2,1.507115E+3,2.88127E+0,0
2.76999E+2,1.507325E+3,2.889755E+0,0
2.769759E+2,1.507064E+3,2.898255E+0,0
2.769569E+2,1.507019E+3,2.90674E+0,0
2.769231E+2,1.507102E+3,2.91523E+0,0
2.7692E+2,1.507484E+3,2.923725E+0,0
2.768877E+2,1.507325E+3,2.93221E+0,0
2.76867E+2,1.507567E+3,2.9407E+0,0
2.768281E+2,1.507287E+3,2.94919E+0,0
2.767943E+2,1.507542E+3,2.957685E+0,0
2.767816E+2,1.5073E+3,2.966175E+0,0
2.767582E+2,1.507433E+3,2.974665E+0,0
2.767276E+2,1.507599E+3,2.983155E+0,0
2.767176E+2,1.507414E+3,2.99165E+0,0
2.76687E+2,1.507077E+3,3.00014E+0,0
2.766515E+2,1.507478E+3,3.008635E+0,0
2.766316E+2,1.507708E+3,3.01712E+0,0
2.766227E+2,1.507669E+3,3.02561E+0,0
2.765928E+2,1.507657E+3,3.034105E+0,0
2.76579E+2,1.507631E+3,3.042595E+0,0
2.765505E+2,1.507427E+3,3.051085E+0,0
2.765244E+2,1.507586E+3,3.05958E+0,0
2.764976E+2,1.507612E+3,3.068065E+0,0
2.764646E+2,1.507835E+3,3.076555E+0,0
2.764529E+2,1.50781E+3,3.08505E+0,0
2.764313E+2,1.507816E+3,3.09354E+0,0
2.76398E+2,1.507504E+3,3.102035E+0,0
2.76386E+2,1.507841E+3,3.110525E+0,0
2.763668E+2,1.507631E+3,3.119015E+0,0
2.763558E+2,1.507733E+3,3.127505E+0,0
2.76327E+2,1.507669E+3,3.135995E+0,0
2.762982E+2,1.508039E+3,3.14449E+0,0
2.762659E+2,1.507956E+3,3.15298E+0,0
2.76257E+2,1.507943E+3,3.16147E+0,0
2.76245E+2,1.507867E+3,3.169965E+0,0
2.762286E+2,1.507994E+3,3.178455E+0,0
2.762104E+2,1.508007E+3,3.186945E+0,0
2.761648E+2,1.508033E+3,3.19543E+0,0
2.761682E+2,1.508058E+3,3.20392E+0,0
2.761487E+2,1.507899E+3,3.212415E+0,0
2.761302E+2,1.507937E+3,3.220905E+0,0
2.761018E+2,1.508275E+3,3.229395E+0,0
2.760826E+2,1.50781E+3,3.23789E+0,0
2.760665E+2,1.507943E+3,3.24638E+0,0
2.760576E+2,1.508115E+3,3.254865E+0,0
2.760254E+2,1.507867E+3,3.263355E+0,0
2.760189E+2,1.508198E+3,3.271845E+0,0
2.759854E+2,1.508249E+3,3.28034E+0,0
2.759526E+2,1.507739E+3,3.28883E+0,0
2.759539E+2,1.508243E+3,3.29732E+0,0
2.759211E+2,1.508434E+3,3.305815E+0,0
2.759143E+2,1.508281E+3,3.3143E+0,0
2.759084E+2,1.508045E+3,3.322795E+0,0
2.758831E+2,1.515502E+3,3.331285E+0,0
2.758585E+2,1.508122E+3,3.339775E+0,0
2.758356E+2,1.508313E+3,3.34827E+0,0
2.758045E+2,1.508103E+3,3.35676E+0,0
2.75797E+2,1.508224E+3,3.365245E+0,0
2.757598E+2,1.50758E+3,3.373735E+0,0
2.75741E+2,1.508383E+3,3.382225E+0,0
2.757048E+2,1.508638E+3,3.39072E+0,0
2.756693E+2,1.508644E+3,3.39921E+0,0
2.756273E+2,1.508466E+3,3.4077E+0,0
2.755935E+2,1.508517E+3,3.416195E+0,0
2.755516E+2,1.508689E+3,3.424685E+0,0
2.755045E+2,1.508415E+3,3.433175E+0,0
2.754472E+2,1.508632E+3,3.441665E+0,0
2.754012E+2,1.508759E+3,3.450155E+0,0
2.753685E+2,1.508651E+3,3.45865E+0,0
2.753246E+2,1.508734E+3,3.46714E+0,0
2.752569E+2,1.508695E+3,3.47563E+0,0
2.75229E+2,1.508944E+3,3.484125E+0,0
2.751684E+2,1.50902E+3,3.492615E+0,0
2.75131E+2,1.508823E+3,3.501105E+0,0
2.75079E+2,1.508893E+3,3.50959E+0,0
2.750304E+2,1.509084E+3,3.51808E+0,0
2.749845E+2,1.508848E+3,3.526575E+0,0
2.749506E+2,1.509352E+3,3.53507E+0,0
2.748912E+2,1.509014E+3,3.54356E+0,0
2.74844E+2,1.509326E+3,3.552055E+0,0
2.74804E+2,1.509326E+3,3.560545E+0,0
2.747511E+2,1.515502E+3,3.569035E+0,0
2.747019E+2,1.509677E+3,3.577525E+0,0
2.746596E+2,1.50969E+3,3.586015E+0,0
2.74621E+2,1.509728E+3,3.594505E+0,0
2.745827E+2,1.509001E+3,3.603E+0,0
2.745309E+2,1.509447E+3,3.61149E+0,0
2.744893E+2,1.50953E+3,3.619985E+0,0
2.744331E+2,1.509664E+3,3.62847E+0,0
2.743827E+2,1.509747E+3,3.636965E+0,0
2.743252E+2,1.50962E+3,3.64545E+0,0
2.742847E+2,1.509932E+3,3.653935E+0,0
2.74231E+2,1.5099E+3,3.662435E+0,0
2.741942E+2,1.509702E+3,3.670925E+0,0
2.741341E+2,1.509887E+3,3.679415E+0,0
2.740865E+2,1.509862E+3,3.687905E+0,0
2.740265E+2,1.510015E+3,3.696395E+0,0
2.739685E+2,1.509792E+3,3.704885E+0,0
2.739206E+2,1.510397E+3,3.71338E+0,0
2.738852E+2,1.510072E+3,3.72187E+0,0
2.738287E+2,1.509957E+3,3.730365E+0,0
2.737775E+2,1.510333E+3,3.73885E+0,0
2.7373E+2,1.510544E+3,3.747345E+0,0
2.736812E+2,1.510333E+3,3.75583E+0,0
2.736315E+2,1.510486E+3,3.764325E+0,0
2.735773E+2,1.510474E+3,3.772815E+0,0
2.735347E+2,1.510525E+3,3.781305E+0,0
2.734819E+2,1.510748E+3,3.789795E+0,0
2.734436E+2,1.510544E+3,3.79829E+0,0
2.733845E+2,1.510709E+3,3.80678E+0,0
2.733372E+2,1.510786E+3,3.81527E+0,0
2.733084E+2,1.510646E+3,3.82376E+0,0
2.732668E+2,1.511022E+3,3.83225E+0,0
2.731974E+2,1.510901E+3,3.840745E+0,0
2.731381E+2,1.510748E+3,3.849235E+0,0
2.731012E+2,1.510907E+3,3.857725E+0,0
2.73064E+2,1.511207E+3,3.866215E+0,0
2.730105E+2,1.511041E+3,3.874705E+0,0
2.729606E+2,1.51092E+3,3.883195E+0,0
2.729144E+2,1.51106E+3,3.89169E+0,0
2.728693E+2,1.511079E+3,3.90018E+0,0
2.728155E+2,1.516579E+3,3.908675E+0,0
2.727777E+2,1.51134E+3,3.91716E+0,0
2.727272E+2,1.511098E+3,3.925655E+0,0
2.726768E+2,1.511455E+3,3.934145E+0,0
2.726204E+2,1.511621E+3,3.94263E+0,0
2.725817E+2,1.51157E+3,3.951125E+0,0
2.72539E+2,1.511512E+3,3.959615E+0,0
2.724829E+2,1.511449E+3,3.968105E+0,0
2.724233E+2,1.51171E+3,3.976595E+0,0
2.723686E+2,1.511786E+3,3.985085E+0,0
2.723206E+2,1.511487E+3,3.993575E+0,0
2.7226E+2,1.511755E+3,4.00207E+0,0
2.721808E+2,1.512041E+3,4.010555E+0,0
2.721193E+2,1.511882E+3,4.019055E+0,0
2.720631E+2,1.511946E+3,4.02754E+0,0
2.71989E+2,1.512092E+3,4.03603E+0,0
2.719302E+2,1.512029E+3,4.044525E+0,0
2.718654E+2,1.512494E+3,4.053015E+0,0
2.717977E+2,1.512296E+3,4.061505E+0,0
2.717331E+2,1.512143E+3,4.069995E+0,0
2.716611E+2,1.512449E+3,4.078485E+0,0
2.715889E+2,1.512392E+3,4.08698E+0,0
2.715266E+2,1.512494E+3,4.09547E+0,0
